,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIR_TIME_MEAN
187,ABQ,"Albuquerque, NM",JFK,"New York, NY",211.0
188,ABQ,"Albuquerque, NM",LAR,"Laramie, WY",84.0
189,ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV",3474.33
190,ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA",3681.32
191,ABQ,"Albuquerque, NM",LBB,"Lubbock, TX",523.86
192,ABQ,"Albuquerque, NM",LEX,"Lexington, KY",132.0
193,ABQ,"Albuquerque, NM",LIT,"Little Rock, AR",98.5
194,ABQ,"Albuquerque, NM",MAF,"Midland/Odessa, TX",660.23
195,ABQ,"Albuquerque, NM",MCI,"Kansas City, MO",1144.68
196,ABQ,"Albuquerque, NM",MCO,"Orlando, FL",3496.55
197,ABQ,"Albuquerque, NM",MDW,"Chicago, IL",3221.48
198,ABQ,"Albuquerque, NM",MEM,"Memphis, TN",1552.14
199,ABQ,"Albuquerque, NM",MRY,"Monterey, CA",168.0
200,ABQ,"Albuquerque, NM",MSP,"Minneapolis, MN",1730.37
201,ABQ,"Albuquerque, NM",OAK,"Oakland, CA",2187.19
202,ABQ,"Albuquerque, NM",OKC,"Oklahoma City, OK",131.38
203,ABQ,"Albuquerque, NM",OMA,"Omaha, NE",99.0
204,ABQ,"Albuquerque, NM",ONT,"Ontario, CA",1093.86
205,ABQ,"Albuquerque, NM",ORD,"Chicago, IL",4437.71
206,ABQ,"Albuquerque, NM",PDX,"Portland, OR",2040.36
207,ABQ,"Albuquerque, NM",PHF,"Newport News/Williamsburg, VA",194.0
208,ABQ,"Albuquerque, NM",PHL,"Philadelphia, PA",197.5
209,ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ",2835.27
210,ABQ,"Albuquerque, NM",PIT,"Pittsburgh, PA",222.0
211,ABQ,"Albuquerque, NM",PSP,"Palm Springs, CA",111.5
212,ABQ,"Albuquerque, NM",PVU,"Provo, UT",97.0
213,ABQ,"Albuquerque, NM",RDU,"Raleigh/Durham, NC",169.0
214,ABQ,"Albuquerque, NM",RNO,"Reno, NV",108.33
215,ABQ,"Albuquerque, NM",ROW,"Roswell, NM",80.0
216,ABQ,"Albuquerque, NM",SAF,"Santa Fe, NM",25.0
217,ABQ,"Albuquerque, NM",SAN,"San Diego, CA",2223.39
218,ABQ,"Albuquerque, NM",SAT,"San Antonio, TX",157.67
219,ABQ,"Albuquerque, NM",SBA,"Santa Barbara, CA",122.5
220,ABQ,"Albuquerque, NM",SDF,"Louisville, KY",2764.22
221,ABQ,"Albuquerque, NM",SEA,"Seattle, WA",4262.32
222,ABQ,"Albuquerque, NM",SFO,"San Francisco, CA",2443.19
223,ABQ,"Albuquerque, NM",SJC,"San Jose, CA",126.0
224,ABQ,"Albuquerque, NM",SLC,"Salt Lake City, UT",2300.44
225,ABQ,"Albuquerque, NM",SNA,"Santa Ana, CA",91.0
226,ABQ,"Albuquerque, NM",SPS,"Wichita Falls, TX",73.0
227,ABQ,"Albuquerque, NM",STL,"St, Louis, MO",1442.55
228,ABQ,"Albuquerque, NM",SVC,"Silver City/Hurley, NM",2069.17
229,ABQ,"Albuquerque, NM",TPA,"Tampa, FL",181.0
230,ABQ,"Albuquerque, NM",TUL,"Tulsa, OK",115.5
231,ABQ,"Albuquerque, NM",TUS,"Tucson, AZ",1170.09
232,ABQ,"Albuquerque, NM",VNY,"Van Nuys, CA",104.0
233,ABQ,"Albuquerque, NM",XWH,"Aztec, NM",55.0
234,ABQ,"Albuquerque, NM",YIP,"Detroit, MI",153.0
235,ABR,"Aberdeen, SD",ATY,"Watertown, SD",17.0
236,ABR,"Aberdeen, SD",DRO,"Durango, CO",162.0
237,ABR,"Aberdeen, SD",FSD,"Sioux Falls, SD",1128.0
238,ABR,"Aberdeen, SD",GFK,"Grand Forks, ND",65.0
239,ABR,"Aberdeen, SD",JMS,"Jamestown, ND",28.0
240,ABR,"Aberdeen, SD",MSP,"Minneapolis, MN",1751.62
241,ABR,"Aberdeen, SD",PAE,"Everett, WA",216.0
242,ABR,"Aberdeen, SD",PIR,"Pierre, SD",36.5
243,ABR,"Aberdeen, SD",YIP,"Detroit, MI",106.0
244,ABY,"Albany, GA",ATL,"Atlanta, GA",2846.83
245,ABY,"Albany, GA",BFM,"Mobile, AL",618.1
246,ABY,"Albany, GA",BHM,"Birmingham, AL",145.0
247,ABY,"Albany, GA",CSG,"Columbus, GA",81.0
248,ABY,"Albany, GA",FAY,"Fayetteville, NC",51.0
249,ABY,"Albany, GA",MEM,"Memphis, TN",70.0
250,ABY,"Albany, GA",MGM,"Montgomery, AL",28.0
251,ABY,"Albany, GA",MSY,"New Orleans, LA",189.67
252,ABY,"Albany, GA",PBI,"West Palm Beach/Palm Beach, FL",63.75
253,ABY,"Albany, GA",PHL,"Philadelphia, PA",108.0
254,ABY,"Albany, GA",PIE,"St, Petersburg, FL",264.33
255,ABY,"Albany, GA",PNS,"Pensacola, FL",669.0
256,ABY,"Albany, GA",SDF,"Louisville, KY",877.9
257,ACB,"Bellaire, MI",YIP,"Detroit, MI",72.0
258,ACK,"Nantucket, MA",BDR,"Bridgeport, CT",57.0
259,ACK,"Nantucket, MA",BED,"Bedford, MA",41.67
260,ACK,"Nantucket, MA",BLM,"Belmar/Farmingdale, NJ",70.0
261,ACK,"Nantucket, MA",BOS,"Boston, MA",11325.2
262,ACK,"Nantucket, MA",BUR,"Burbank, CA",324.0
263,ACK,"Nantucket, MA",BWI,"Baltimore, MD",198.0
264,ACK,"Nantucket, MA",CLE,"Cleveland, OH",106.0
265,ACK,"Nantucket, MA",DCA,"Washington, DC",2238.75
266,ACK,"Nantucket, MA",DXR,"Danbury, CT",60.0
267,ACK,"Nantucket, MA",EWB,"New Bedford/Fall River, MA",2350.73
268,ACK,"Nantucket, MA",EWR,"Newark, NJ",1949.17
269,ACK,"Nantucket, MA",FID,"Fishers Island, NY",30.0
270,ACK,"Nantucket, MA",FRG,"East Farmingdale, NY",153.0
271,ACK,"Nantucket, MA",GAI,"Gaithersburg, MD",118.5
272,ACK,"Nantucket, MA",GON,"New London/Groton, CT",54.0
273,ACK,"Nantucket, MA",HPN,"White Plains, NY",735.1
274,ACK,"Nantucket, MA",HTO,"East Hampton, NY",76.0
275,ACK,"Nantucket, MA",HYA,"Hyannis, MA",3916.49
276,ACK,"Nantucket, MA",IAD,"Washington, DC",120.0
277,ACK,"Nantucket, MA",JFK,"New York, NY",1461.09
278,ACK,"Nantucket, MA",LEW,"Lewiston/Auburn, ME",85.0
279,ACK,"Nantucket, MA",LGA,"New York, NY",2513.6
280,ACK,"Nantucket, MA",MA1,"Edgartown, MA",12.0
281,ACK,"Nantucket, MA",MMU,"Morristown, NJ",93.0
282,ACK,"Nantucket, MA",MTP,"Montauk Point, NY",36.0
283,ACK,"Nantucket, MA",MVY,"Martha's Vineyard, MA",661.86
284,ACK,"Nantucket, MA",NY1,"Kingston, NY",72.0
285,ACK,"Nantucket, MA",OXC,"Waterbury, CT",56.0
286,ACK,"Nantucket, MA",PCT,"Princeton, NJ",76.0
287,ACK,"Nantucket, MA",PVD,"Providence, RI",1441.89
288,ACK,"Nantucket, MA",RIC,"Richmond, VA",105.0
289,ACK,"Nantucket, MA",RUT,"Rutland, VT",66.0
290,ACK,"Nantucket, MA",TEB,"Teterboro, NJ",558.47
291,ACK,"Nantucket, MA",ZXU,"North Kingstown, RI",30.0
292,ACT,"Waco, TX",ADS,"Dallas, TX",28.0
293,ACT,"Waco, TX",AHN,"Athens, GA",107.0
294,ACT,"Waco, TX",AUS,"Austin, TX",25.33
295,ACT,"Waco, TX",BOS,"Boston, MA",180.0
296,ACT,"Waco, TX",BTR,"Baton Rouge, LA",48.0
297,ACT,"Waco, TX",CKB,"Clarksburg/Fairmont, WV",124.0
298,ACT,"Waco, TX",CLE,"Cleveland, OH",134.0
299,ACT,"Waco, TX",CLL,"College Station/Bryan, TX",68.0
300,ACT,"Waco, TX",COU,"Columbia, MO",73.0
301,ACT,"Waco, TX",DAL,"Dallas, TX",24.0
302,ACT,"Waco, TX",DEN,"Denver, CO",103.0
303,ACT,"Waco, TX",DFW,"Dallas/Fort Worth, TX",809.1
304,ACT,"Waco, TX",DSM,"Des Moines, IA",92.0
305,ACT,"Waco, TX",FOE,"Topeka, KS",84.67
306,ACT,"Waco, TX",GLH,"Greenville, MS",60.0
307,ACT,"Waco, TX",GPT,"Gulfport/Biloxi, MS",66.0
308,ACT,"Waco, TX",GRK,"Killeen, TX",18.0
309,ACT,"Waco, TX",HOU,"Houston, TX",30.0
310,ACT,"Waco, TX",IAH,"Houston, TX",2502.76
311,ACT,"Waco, TX",IFP,"Bullhead City, AZ",138.0
312,ACT,"Waco, TX",LAW,"Lawton/Fort Sill, OK",36.0
313,ACT,"Waco, TX",LBB,"Lubbock, TX",51.67
314,ACT,"Waco, TX",LIT,"Little Rock, AR",48.0
315,ACT,"Waco, TX",LNK,"Lincoln, NE",91.5
316,ACT,"Waco, TX",MCI,"Kansas City, MO",83.5
317,ACT,"Waco, TX",MHK,"Manhattan/Ft, Riley, KS",76.0
318,ACT,"Waco, TX",MKC,"Kansas City, MO",150.0
319,ACT,"Waco, TX",MSP,"Minneapolis, MN",109.0
320,ACT,"Waco, TX",OKC,"Oklahoma City, OK",38.0
321,ACT,"Waco, TX",RNO,"Reno, NV",174.0
322,ACT,"Waco, TX",SAT,"San Antonio, TX",35.0
323,ACT,"Waco, TX",SJT,"San Angelo, TX",30.0
324,ACT,"Waco, TX",SPS,"Wichita Falls, TX",36.0
325,ACT,"Waco, TX",SWO,"Stillwater, OK",52.5
326,ACT,"Waco, TX",TUL,"Tulsa, OK",47.0
327,ACT,"Waco, TX",TYS,"Knoxville, TN",95.0
328,ACT,"Waco, TX",UTM,"Tunica, MS",58.0
329,ACV,"Arcata/Eureka, CA",CEC,"Crescent City, CA",437.92
330,ACV,"Arcata/Eureka, CA",EKA,"Eureka, CA",13.0
331,ACV,"Arcata/Eureka, CA",LAX,"Los Angeles, CA",1941.4
332,ACV,"Arcata/Eureka, CA",MFR,"Medford, OR",74.0
333,ACV,"Arcata/Eureka, CA",ORD,"Chicago, IL",227.0
334,ACV,"Arcata/Eureka, CA",RDD,"Redding, CA",661.2
335,ACV,"Arcata/Eureka, CA",SBP,"San Luis Obispo, CA",176.0
336,ACV,"Arcata/Eureka, CA",SFO,"San Francisco, CA",11715.25
337,ACV,"Arcata/Eureka, CA",SJC,"San Jose, CA",201.0
338,ACV,"Arcata/Eureka, CA",SLC,"Salt Lake City, UT",90.0
339,ACV,"Arcata/Eureka, CA",SMF,"Sacramento, CA",1558.74
340,ACV,"Arcata/Eureka, CA",YKM,"Yakima, WA",71.0
341,ACY,"Atlantic City, NJ",ACY,"Atlantic City, NJ",6.0
342,ACY,"Atlantic City, NJ",AGC,"Pittsburgh, PA",115.0
343,ACY,"Atlantic City, NJ",AGS,"Augusta, GA",105.0
344,ACY,"Atlantic City, NJ",ALB,"Albany, NY",66.0
345,ACY,"Atlantic City, NJ",ATL,"Atlanta, GA",5924.31
346,ACY,"Atlantic City, NJ",AUS,"Austin, TX",215.0
347,ACY,"Atlantic City, NJ",AVL,"Asheville, NC",85.0
348,ACY,"Atlantic City, NJ",BED,"Bedford, MA",66.0
349,ACY,"Atlantic City, NJ",BHM,"Birmingham, AL",127.0
350,ACY,"Atlantic City, NJ",BOS,"Boston, MA",1205.36
351,ACY,"Atlantic City, NJ",BUF,"Buffalo, NY",103.0
352,ACY,"Atlantic City, NJ",CAE,"Columbia, SC",102.2
353,ACY,"Atlantic City, NJ",CAK,"Akron, OH",145.27
354,ACY,"Atlantic City, NJ",CEF,"Chicopee Falls, MA",65.57
355,ACY,"Atlantic City, NJ",CHA,"Chattanooga, TN",91.5
356,ACY,"Atlantic City, NJ",CHS,"Charleston, SC",87.0
357,ACY,"Atlantic City, NJ",CLE,"Cleveland, OH",284.36
358,ACY,"Atlantic City, NJ",CLT,"Charlotte, NC",275.69
359,ACY,"Atlantic City, NJ",CMH,"Columbus, OH",88.17
360,ACY,"Atlantic City, NJ",CRW,"Charleston/Dunbar, WV",201.0
361,ACY,"Atlantic City, NJ",CVG,"Cincinnati, OH",131.2
362,ACY,"Atlantic City, NJ",CWA,"Mosinee, WI",126.67
363,ACY,"Atlantic City, NJ",DAB,"Daytona Beach, FL",149.0
364,ACY,"Atlantic City, NJ",DAY,"Dayton, OH",121.29
365,ACY,"Atlantic City, NJ",DCA,"Washington, DC",43.67
366,ACY,"Atlantic City, NJ",DFW,"Dallas/Fort Worth, TX",185.0
367,ACY,"Atlantic City, NJ",DTW,"Detroit, MI",782.8
368,ACY,"Atlantic City, NJ",ERI,"Erie, PA",67.86
369,ACY,"Atlantic City, NJ",EWR,"Newark, NJ",41.6
370,ACY,"Atlantic City, NJ",FAY,"Fayetteville, NC",107.5
371,ACY,"Atlantic City, NJ",FLL,"Fort Lauderdale, FL",5422.16
372,ACY,"Atlantic City, NJ",FRG,"East Farmingdale, NY",966.5
373,ACY,"Atlantic City, NJ",FWA,"Fort Wayne, IN",88.33
374,ACY,"Atlantic City, NJ",GPT,"Gulfport/Biloxi, MS",190.0
375,ACY,"Atlantic City, NJ",GRB,"Green Bay, WI",169.0
376,ACY,"Atlantic City, NJ",GRR,"Grand Rapids, MI",95.4
377,ACY,"Atlantic City, NJ",GSO,"Greensboro/High Point, NC",182.47
378,ACY,"Atlantic City, NJ",GSP,"Greer, SC",73.0
379,ACY,"Atlantic City, NJ",GYY,"Gary, IN",100.0
380,ACY,"Atlantic City, NJ",HOU,"Houston, TX",173.0
