,Unnamed: 0,Year,quarter,miles_distance,daily_passengers,average_fare,city_Dep,city_Arr,State_Arr,State_Dep,IATA_Dep,IATA_Arr,Date,Max TemperatureC_Dep,Mean TemperatureC_Dep,Min TemperatureC_Dep,Dew PointC_Dep,MeanDew PointC_Dep,Min DewpointC_Dep,Max Humidity_Dep,Mean Humidity_Dep,Min Humidity_Dep,Max Sea Level PressurehPa_Dep,Mean Sea Level PressurehPa_Dep,Min Sea Level PressurehPa_Dep,Max VisibilityKm_Dep,Mean VisibilityKm_Dep,Min VisibilitykM_Dep,Max Wind SpeedKm/h_Dep,Mean Wind SpeedKm/h_Dep,Max Gust SpeedKm/h_Dep,WindDirDegrees_Dep,Rank_2018_Dep,2018_Dep,2017_Dep,2016_Dep,2015_Dep,lat_Dep,lng_Dep,population_Dep,density_Dep,ranking_Dep,Fuel_price,Holiday,LOAD_FACTOR_Dep,Max TemperatureC_Arr,Mean TemperatureC_Arr,Min TemperatureC_Arr,Dew PointC_Arr,MeanDew PointC_Arr,Min DewpointC_Arr,Max Humidity_Arr,Mean Humidity_Arr,Min Humidity_Arr,Max Sea Level PressurehPa_Arr,Mean Sea Level PressurehPa_Arr,Min Sea Level PressurehPa_Arr,Max VisibilityKm_Arr,Mean VisibilityKm_Arr,Min VisibilitykM_Arr,Max Wind SpeedKm/h_Arr,Mean Wind SpeedKm/h_Arr,Max Gust SpeedKm/h_Arr,WindDirDegrees_Arr,Rank_2018_Arr,2018_Arr,2017_Arr,2016_Arr,2015_Arr,lat_Arr,lng_Arr,population_Arr,density_Arr,ranking_Arr,LOAD_FACTOR_Arr
300,300,2011,3,1199,1555,175.94,Atlanta,Denver,CO,CO,ATL,DEN,2011-09-01,35,29,24,21,18,14,79,56,32,1022,1019,1017,16,16,11,19,6,26.0,129,1 ,51866464,50251964,50501858,49340732,33.7627,-84.4225,5228750.0,1384.0,1,3088,0,81.82,36,28,20,5,3,-2,34,22,9,1016,1007,1004,16,16,16,29,15,39.0,205,5 ,31363573,29809097,28267394,26280043,39.7621,-104.8759,2787266.0,1774.0,1,81.82
301,301,2011,3,1754,1978,233.35,Boston,Denver,CO,CO,BOS,DEN,2011-09-01,22,19,17,16,14,12,90,72,53,1024,1023,1021,16,16,14,23,11,26.0,67,16 ,20010262,18759742,17749202,16290362,42.3188,-71.0846,4637537.0,5472.0,1,3088,0,81.82,36,28,20,5,3,-2,34,22,9,1016,1007,1004,16,16,16,29,15,39.0,205,5 ,31363573,29809097,28267394,26280043,39.7621,-104.8759,2787266.0,1774.0,1,81.82
302,302,2011,3,1337,391,296.21,Charlotte,Denver,CO,CO,CLT,DEN,2011-09-01,33,26,17,19,18,16,93,66,38,1022,1020,1017,16,16,11,21,5,24.0,315,12 ,22283574,22011251,21511880,21913166,35.2079,-80.8304,1467362.0,1081.0,1,3088,0,81.82,36,28,20,5,3,-2,34,22,9,1016,1007,1004,16,16,16,29,15,39.0,205,5 ,31363573,29809097,28267394,26280043,39.7621,-104.8759,2787266.0,1774.0,1,81.82
303,303,2011,3,895,3057,188.85,Chicago,Denver,CO,CO,ORD,DEN,2011-09-01,34,28,22,23,22,19,84,70,56,1015,1013,1011,16,15,11,26,9,37.0,197,3 ,39874879,38593028,37589899,36305668,41.8373,-87.6862,8675982.0,4612.0,1,3088,0,81.82,36,28,20,5,3,-2,34,22,9,1016,1007,1004,16,16,16,29,15,39.0,205,5 ,31363573,29809097,28267394,26280043,39.7621,-104.8759,2787266.0,1774.0,1,81.82
304,304,2011,3,651,2165,172.85,Dallas,Denver,CO,CO,DFW,DEN,2011-09-01,38,33,27,17,14,11,51,35,19,1015,1013,1010,16,16,16,34,14,45.0,157,4 ,32800721,31816933,31283579,31589832,32.7936,-96.7662,5733259.0,1524.0,1,3088,0,81.82,36,28,20,5,3,-2,34,22,9,1016,1007,1004,16,16,16,29,15,39.0,205,5 ,31363573,29809097,28267394,26280043,39.7621,-104.8759,2787266.0,1774.0,1,81.82
450,450,2011,3,594,1252,184.39,Atlanta,Detroit,MI,MI,ATL,DTW,2011-09-01,35,29,24,21,18,14,79,56,32,1022,1019,1017,16,16,11,19,6,26.0,129,1 ,51866464,50251964,50501858,49340732,33.7627,-84.4225,5228750.0,1384.0,1,3088,0,81.82,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,194,19 ,17437716,17036092,16826287,16255520,42.3834,-83.1024,3522206.0,1873.0,1,81.82
451,451,2011,3,632,978,271.24,Boston,Detroit,MI,MI,BOS,DTW,2011-09-01,22,19,17,16,14,12,90,72,53,1024,1023,1021,16,16,14,23,11,26.0,67,16 ,20010262,18759742,17749202,16290362,42.3188,-71.0846,4637537.0,5472.0,1,3088,0,81.82,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,194,19 ,17437716,17036092,16826287,16255520,42.3834,-83.1024,3522206.0,1873.0,1,81.82
452,452,2011,3,500,393,236.79,Charlotte,Detroit,MI,MI,CLT,DTW,2011-09-01,33,26,17,19,18,16,93,66,38,1022,1020,1017,16,16,11,21,5,24.0,315,12 ,22283574,22011251,21511880,21913166,35.2079,-80.8304,1467362.0,1081.0,1,3088,0,81.82,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,194,19 ,17437716,17036092,16826287,16255520,42.3834,-83.1024,3522206.0,1873.0,1,81.82
453,453,2011,3,235,1464,149.86,Chicago,Detroit,MI,MI,ORD,DTW,2011-09-01,34,28,22,23,22,19,84,70,56,1015,1013,1011,16,15,11,26,9,37.0,197,3 ,39874879,38593028,37589899,36305668,41.8373,-87.6862,8675982.0,4612.0,1,3088,0,81.82,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,194,19 ,17437716,17036092,16826287,16255520,42.3834,-83.1024,3522206.0,1873.0,1,81.82
454,454,2011,3,986,835,255.07,Dallas,Detroit,MI,MI,DFW,DTW,2011-09-01,38,33,27,17,14,11,51,35,19,1015,1013,1010,16,16,16,34,14,45.0,157,4 ,32800721,31816933,31283579,31589832,32.7936,-96.7662,5733259.0,1524.0,1,3088,0,81.82,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,194,19 ,17437716,17036092,16826287,16255520,42.3834,-83.1024,3522206.0,1873.0,1,81.82
455,455,2011,3,1123,1123,183.15,Denver,Detroit,MI,MI,DEN,DTW,2011-09-01,36,28,20,5,3,-2,34,22,9,1016,1007,1004,16,16,16,29,15,39.0,205,5 ,31363573,29809097,28267394,26280043,39.7621,-104.8759,2787266.0,1774.0,1,3088,0,81.82,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,194,19 ,17437716,17036092,16826287,16255520,42.3834,-83.1024,3522206.0,1873.0,1,81.82
630,630,2011,3,696,1373,203.41,Atlanta,Houston,TX,TX,ATL,IAH,2011-09-01,35,29,24,21,18,14,79,56,32,1022,1019,1017,16,16,11,19,6,26.0,129,1 ,51866464,50251964,50501858,49340732,33.7627,-84.4225,5228750.0,1384.0,1,3088,0,81.82,39,31,25,24,22,19,82,61,32,1015,1013,1010,16,16,13,27,10,34.0,77,14 ,21157948,19603731,20062072,20595874,29.7869,-95.3905,5446468.0,1401.0,1,81.82
631,631,2011,3,1609,1115,278.94,Boston,Houston,TX,TX,BOS,IAH,2011-09-01,22,19,17,16,14,12,90,72,53,1024,1023,1021,16,16,14,23,11,26.0,67,16 ,20010262,18759742,17749202,16290362,42.3188,-71.0846,4637537.0,5472.0,1,3088,0,81.82,39,31,25,24,22,19,82,61,32,1015,1013,1010,16,16,13,27,10,34.0,77,14 ,21157948,19603731,20062072,20595874,29.7869,-95.3905,5446468.0,1401.0,1,81.82
632,632,2011,3,920,394,273.2,Charlotte,Houston,TX,TX,CLT,IAH,2011-09-01,33,26,17,19,18,16,93,66,38,1022,1020,1017,16,16,11,21,5,24.0,315,12 ,22283574,22011251,21511880,21913166,35.2079,-80.8304,1467362.0,1081.0,1,3088,0,81.82,39,31,25,24,22,19,82,61,32,1015,1013,1010,16,16,13,27,10,34.0,77,14 ,21157948,19603731,20062072,20595874,29.7869,-95.3905,5446468.0,1401.0,1,81.82
633,633,2011,3,945,2338,226.19,Chicago,Houston,TX,TX,ORD,IAH,2011-09-01,34,28,22,23,22,19,84,70,56,1015,1013,1011,16,15,11,26,9,37.0,197,3 ,39874879,38593028,37589899,36305668,41.8373,-87.6862,8675982.0,4612.0,1,3088,0,81.82,39,31,25,24,22,19,82,61,32,1015,1013,1010,16,16,13,27,10,34.0,77,14 ,21157948,19603731,20062072,20595874,29.7869,-95.3905,5446468.0,1401.0,1,81.82
634,634,2011,3,247,3150,156.04,Dallas,Houston,TX,TX,DFW,IAH,2011-09-01,38,33,27,17,14,11,51,35,19,1015,1013,1010,16,16,16,34,14,45.0,157,4 ,32800721,31816933,31283579,31589832,32.7936,-96.7662,5733259.0,1524.0,1,3088,0,81.82,39,31,25,24,22,19,82,61,32,1015,1013,1010,16,16,13,27,10,34.0,77,14 ,21157948,19603731,20062072,20595874,29.7869,-95.3905,5446468.0,1401.0,1,81.82
635,635,2011,3,883,2077,177.18,Denver,Houston,TX,TX,DEN,IAH,2011-09-01,36,28,20,5,3,-2,34,22,9,1016,1007,1004,16,16,16,29,15,39.0,205,5 ,31363573,29809097,28267394,26280043,39.7621,-104.8759,2787266.0,1774.0,1,3088,0,81.82,39,31,25,24,22,19,82,61,32,1015,1013,1010,16,16,13,27,10,34.0,77,14 ,21157948,19603731,20062072,20595874,29.7869,-95.3905,5446468.0,1401.0,1,81.82
636,636,2011,3,1092,605,274.46,Detroit,Houston,TX,TX,DTW,IAH,2011-09-01,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,194,19 ,17437716,17036092,16826287,16255520,42.3834,-83.1024,3522206.0,1873.0,1,3088,0,81.82,39,31,25,24,22,19,82,61,32,1015,1013,1010,16,16,13,27,10,34.0,77,14 ,21157948,19603731,20062072,20595874,29.7869,-95.3905,5446468.0,1401.0,1,81.82
840,840,2011,3,1747,1274,230.24,Atlanta,Las Vegas,NV,NV,ATL,LAS,2011-09-01,35,29,24,21,18,14,79,56,32,1022,1019,1017,16,16,11,19,6,26.0,129,1 ,51866464,50251964,50501858,49340732,33.7627,-84.4225,5228750.0,1384.0,1,3088,0,81.82,39,33,26,-12,-16,-27,7,4,1,1008,1005,1003,16,16,16,39,24,48.0,206,9 ,23655285,23364393,22833267,21824231,36.2333,-115.2654,2073045.0,1747.0,1,81.82
841,841,2011,3,2381,1464,247.0,Boston,Las Vegas,NV,NV,BOS,LAS,2011-09-01,22,19,17,16,14,12,90,72,53,1024,1023,1021,16,16,14,23,11,26.0,67,16 ,20010262,18759742,17749202,16290362,42.3188,-71.0846,4637537.0,5472.0,1,3088,0,81.82,39,33,26,-12,-16,-27,7,4,1,1008,1005,1003,16,16,16,39,24,48.0,206,9 ,23655285,23364393,22833267,21824231,36.2333,-115.2654,2073045.0,1747.0,1,81.82
842,842,2011,3,1916,539,247.91,Charlotte,Las Vegas,NV,NV,CLT,LAS,2011-09-01,33,26,17,19,18,16,93,66,38,1022,1020,1017,16,16,11,21,5,24.0,315,12 ,22283574,22011251,21511880,21913166,35.2079,-80.8304,1467362.0,1081.0,1,3088,0,81.82,39,33,26,-12,-16,-27,7,4,1,1008,1005,1003,16,16,16,39,24,48.0,206,9 ,23655285,23364393,22833267,21824231,36.2333,-115.2654,2073045.0,1747.0,1,81.82
843,843,2011,3,1521,3338,195.15,Chicago,Las Vegas,NV,NV,ORD,LAS,2011-09-01,34,28,22,23,22,19,84,70,56,1015,1013,1011,16,15,11,26,9,37.0,197,3 ,39874879,38593028,37589899,36305668,41.8373,-87.6862,8675982.0,4612.0,1,3088,0,81.82,39,33,26,-12,-16,-27,7,4,1,1008,1005,1003,16,16,16,39,24,48.0,206,9 ,23655285,23364393,22833267,21824231,36.2333,-115.2654,2073045.0,1747.0,1,81.82
844,844,2011,3,1067,2516,163.56,Dallas,Las Vegas,NV,NV,DFW,LAS,2011-09-01,38,33,27,17,14,11,51,35,19,1015,1013,1010,16,16,16,34,14,45.0,157,4 ,32800721,31816933,31283579,31589832,32.7936,-96.7662,5733259.0,1524.0,1,3088,0,81.82,39,33,26,-12,-16,-27,7,4,1,1008,1005,1003,16,16,16,39,24,48.0,206,9 ,23655285,23364393,22833267,21824231,36.2333,-115.2654,2073045.0,1747.0,1,81.82
845,845,2011,3,628,2458,121.42,Denver,Las Vegas,NV,NV,DEN,LAS,2011-09-01,36,28,20,5,3,-2,34,22,9,1016,1007,1004,16,16,16,29,15,39.0,205,5 ,31363573,29809097,28267394,26280043,39.7621,-104.8759,2787266.0,1774.0,1,3088,0,81.82,39,33,26,-12,-16,-27,7,4,1,1008,1005,1003,16,16,16,39,24,48.0,206,9 ,23655285,23364393,22833267,21824231,36.2333,-115.2654,2073045.0,1747.0,1,81.82
846,846,2011,3,1749,1929,184.92,Detroit,Las Vegas,NV,NV,DTW,LAS,2011-09-01,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,194,19 ,17437716,17036092,16826287,16255520,42.3834,-83.1024,3522206.0,1873.0,1,3088,0,81.82,39,33,26,-12,-16,-27,7,4,1,1008,1005,1003,16,16,16,39,24,48.0,206,9 ,23655285,23364393,22833267,21824231,36.2333,-115.2654,2073045.0,1747.0,1,81.82
847,847,2011,3,1235,1750,204.11,Houston,Las Vegas,NV,NV,IAH,LAS,2011-09-01,39,31,25,24,22,19,82,61,32,1015,1013,1010,16,16,13,27,10,34.0,77,14 ,21157948,19603731,20062072,20595874,29.7869,-95.3905,5446468.0,1401.0,1,3088,0,81.82,39,33,26,-12,-16,-27,7,4,1,1008,1005,1003,16,16,16,39,24,48.0,206,9 ,23655285,23364393,22833267,21824231,36.2333,-115.2654,2073045.0,1747.0,1,81.82
1080,1080,2011,3,1946,2761,250.1,Atlanta,Los Angeles,CA ,CA ,ATL,LAX,2011-09-01,35,29,24,21,18,14,79,56,32,1022,1019,1017,16,16,11,19,6,26.0,129,1 ,51866464,50251964,50501858,49340732,33.7627,-84.4225,5228750.0,1384.0,1,3088,0,81.82,21,18,15,14,14,13,90,76,61,1012,1011,1009,16,11,4,23,13,,265,2 ,42626783,41232432,39636042,36351226,34.1139,-118.4068,12815475.0,3295.0,1,81.82
1081,1081,2011,3,2611,3522,301.57,Boston,Los Angeles,CA ,CA ,BOS,LAX,2011-09-01,22,19,17,16,14,12,90,72,53,1024,1023,1021,16,16,14,23,11,26.0,67,16 ,20010262,18759742,17749202,16290362,42.3188,-71.0846,4637537.0,5472.0,1,3088,0,81.82,21,18,15,14,14,13,90,76,61,1012,1011,1009,16,11,4,23,13,,265,2 ,42626783,41232432,39636042,36351226,34.1139,-118.4068,12815475.0,3295.0,1,81.82
1082,1082,2011,3,2125,772,313.54,Charlotte,Los Angeles,CA ,CA ,CLT,LAX,2011-09-01,33,26,17,19,18,16,93,66,38,1022,1020,1017,16,16,11,21,5,24.0,315,12 ,22283574,22011251,21511880,21913166,35.2079,-80.8304,1467362.0,1081.0,1,3088,0,81.82,21,18,15,14,14,13,90,76,61,1012,1011,1009,16,11,4,23,13,,265,2 ,42626783,41232432,39636042,36351226,34.1139,-118.4068,12815475.0,3295.0,1,81.82
1083,1083,2011,3,1750,6272,219.45,Chicago,Los Angeles,CA ,CA ,ORD,LAX,2011-09-01,34,28,22,23,22,19,84,70,56,1015,1013,1011,16,15,11,26,9,37.0,197,3 ,39874879,38593028,37589899,36305668,41.8373,-87.6862,8675982.0,4612.0,1,3088,0,81.82,21,18,15,14,14,13,90,76,61,1012,1011,1009,16,11,4,23,13,,265,2 ,42626783,41232432,39636042,36351226,34.1139,-118.4068,12815475.0,3295.0,1,81.82
1084,1084,2011,3,1246,4408,207.79,Dallas,Los Angeles,CA ,CA ,DFW,LAX,2011-09-01,38,33,27,17,14,11,51,35,19,1015,1013,1010,16,16,16,34,14,45.0,157,4 ,32800721,31816933,31283579,31589832,32.7936,-96.7662,5733259.0,1524.0,1,3088,0,81.82,21,18,15,14,14,13,90,76,61,1012,1011,1009,16,11,4,23,13,,265,2 ,42626783,41232432,39636042,36351226,34.1139,-118.4068,12815475.0,3295.0,1,81.82
1085,1085,2011,3,862,4774,158.71,Denver,Los Angeles,CA ,CA ,DEN,LAX,2011-09-01,36,28,20,5,3,-2,34,22,9,1016,1007,1004,16,16,16,29,15,39.0,205,5 ,31363573,29809097,28267394,26280043,39.7621,-104.8759,2787266.0,1774.0,1,3088,0,81.82,21,18,15,14,14,13,90,76,61,1012,1011,1009,16,11,4,23,13,,265,2 ,42626783,41232432,39636042,36351226,34.1139,-118.4068,12815475.0,3295.0,1,81.82
1086,1086,2011,3,1979,1976,246.19,Detroit,Los Angeles,CA ,CA ,DTW,LAX,2011-09-01,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,194,19 ,17437716,17036092,16826287,16255520,42.3834,-83.1024,3522206.0,1873.0,1,3088,0,81.82,21,18,15,14,14,13,90,76,61,1012,1011,1009,16,11,4,23,13,,265,2 ,42626783,41232432,39636042,36351226,34.1139,-118.4068,12815475.0,3295.0,1,81.82
1087,1087,2011,3,1390,2621,254.28,Houston,Los Angeles,CA ,CA ,IAH,LAX,2011-09-01,39,31,25,24,22,19,82,61,32,1015,1013,1010,16,16,13,27,10,34.0,77,14 ,21157948,19603731,20062072,20595874,29.7869,-95.3905,5446468.0,1401.0,1,3088,0,81.82,21,18,15,14,14,13,90,76,61,1012,1011,1009,16,11,4,23,13,,265,2 ,42626783,41232432,39636042,36351226,34.1139,-118.4068,12815475.0,3295.0,1,81.82
1088,1088,2011,3,236,6474,115.0,Las Vegas,Los Angeles,CA ,CA ,LAS,LAX,2011-09-01,39,33,26,-12,-16,-27,7,4,1,1008,1005,1003,16,16,16,39,24,48.0,206,9 ,23655285,23364393,22833267,21824231,36.2333,-115.2654,2073045.0,1747.0,1,3088,0,81.82,21,18,15,14,14,13,90,76,61,1012,1011,1009,16,11,4,23,13,,265,2 ,42626783,41232432,39636042,36351226,34.1139,-118.4068,12815475.0,3295.0,1,81.82
1350,1350,2011,3,594,3115,125.48,Atlanta,Miami,FL ,FL ,ATL,MIA,2011-09-01,35,29,24,21,18,14,79,56,32,1022,1019,1017,16,16,11,19,6,26.0,129,1 ,51866464,50251964,50501858,49340732,33.7627,-84.4225,5228750.0,1384.0,1,3088,0,81.82,32,29,25,26,24,23,97,83,68,1018,1016,1015,16,16,11,24,6,34.0,29,15 ,21025210,20709225,20875813,20986341,25.7839,-80.2102,6381966.0,4969.0,1,81.82
1351,1351,2011,3,1283,2722,166.25,Boston,Miami,FL ,FL ,BOS,MIA,2011-09-01,22,19,17,16,14,12,90,72,53,1024,1023,1021,16,16,14,23,11,26.0,67,16 ,20010262,18759742,17749202,16290362,42.3188,-71.0846,4637537.0,5472.0,1,3088,0,81.82,32,29,25,26,24,23,97,83,68,1018,1016,1015,16,16,11,24,6,34.0,29,15 ,21025210,20709225,20875813,20986341,25.7839,-80.2102,6381966.0,4969.0,1,81.82
1352,1352,2011,3,650,669,211.5,Charlotte,Miami,FL ,FL ,CLT,MIA,2011-09-01,33,26,17,19,18,16,93,66,38,1022,1020,1017,16,16,11,21,5,24.0,315,12 ,22283574,22011251,21511880,21913166,35.2079,-80.8304,1467362.0,1081.0,1,3088,0,81.82,32,29,25,26,24,23,97,83,68,1018,1016,1015,16,16,11,24,6,34.0,29,15 ,21025210,20709225,20875813,20986341,25.7839,-80.2102,6381966.0,4969.0,1,81.82
1353,1353,2011,3,1197,2755,168.97,Chicago,Miami,FL ,FL ,ORD,MIA,2011-09-01,34,28,22,23,22,19,84,70,56,1015,1013,1011,16,15,11,26,9,37.0,197,3 ,39874879,38593028,37589899,36305668,41.8373,-87.6862,8675982.0,4612.0,1,3088,0,81.82,32,29,25,26,24,23,97,83,68,1018,1016,1015,16,16,11,24,6,34.0,29,15 ,21025210,20709225,20875813,20986341,25.7839,-80.2102,6381966.0,4969.0,1,81.82
1354,1354,2011,3,1121,1571,175.48,Dallas,Miami,FL ,FL ,DFW,MIA,2011-09-01,38,33,27,17,14,11,51,35,19,1015,1013,1010,16,16,16,34,14,45.0,157,4 ,32800721,31816933,31283579,31589832,32.7936,-96.7662,5733259.0,1524.0,1,3088,0,81.82,32,29,25,26,24,23,97,83,68,1018,1016,1015,16,16,11,24,6,34.0,29,15 ,21025210,20709225,20875813,20986341,25.7839,-80.2102,6381966.0,4969.0,1,81.82
1355,1355,2011,3,1709,909,208.62,Denver,Miami,FL ,FL ,DEN,MIA,2011-09-01,36,28,20,5,3,-2,34,22,9,1016,1007,1004,16,16,16,29,15,39.0,205,5 ,31363573,29809097,28267394,26280043,39.7621,-104.8759,2787266.0,1774.0,1,3088,0,81.82,32,29,25,26,24,23,97,83,68,1018,1016,1015,16,16,11,24,6,34.0,29,15 ,21025210,20709225,20875813,20986341,25.7839,-80.2102,6381966.0,4969.0,1,81.82
